loss,mape,val_loss,val_mape
0.014279866591095924,152655.796875,0.007896026596426964,267237.8125
0.005998631473630667,61095.546875,0.00480062747374177,199657.421875
0.005215953104197979,59807.359375,0.007190152537077665,202051.078125
0.004740285221487284,54585.21875,0.00449881749227643,241753.21875
0.0044820308685302734,54305.359375,0.003916643094271421,212826.0625
0.004267525859177113,62076.0390625,0.003942123614251614,194106.03125
0.004095423500984907,54578.2578125,0.003845489351078868,192770.859375
0.003977563697844744,53286.390625,0.0045173377729952335,207368.578125
0.003833741182461381,44529.89453125,0.0035741697065532207,217414.640625
0.0036699550691992044,46832.375,0.0031987891998142004,176801.0625
0.003538026474416256,56132.0078125,0.0031970138661563396,177486.875
0.0034561362117528915,43487.44140625,0.003060691524296999,168111.65625
0.0034138145856559277,40624.53125,0.0033733260352164507,122774.1796875
0.0033682910725474358,41212.80078125,0.003015346359461546,147501.4375
0.0033322451636195183,41890.3671875,0.0030289182905107737,126479.453125
0.0032865016255527735,38798.42578125,0.00308868451975286,142998.125
0.003297297516837716,38082.46484375,0.002951576141640544,141519.109375
0.003258563345298171,39590.75390625,0.003220215206965804,138827.46875
0.0032974982168525457,45094.609375,0.002922374289482832,146636.171875
0.003291625762358308,37275.609375,0.0029132713098078966,125708.5
0.0032551006879657507,38256.0625,0.0028992805164307356,127103.4375
0.0032366146333515644,47832.48828125,0.0032792361453175545,140013.984375
0.00322485133074224,37925.04296875,0.003005394246429205,128687.5703125
0.0032285579945892096,38296.234375,0.0029029478318989277,144937.125
0.003192012431100011,43896.46484375,0.0028914804570376873,133080.171875
0.0032146882731467485,35913.453125,0.003086530137807131,125053.1484375
0.003189522074535489,36488.6640625,0.00315499329008162,161127.984375
0.0031908275559544563,40959.6796875,0.002930705901235342,149340.25
0.003160144668072462,37570.4921875,0.0030467105098068714,120122.9921875
0.0031507830135524273,32149.576171875,0.0033813982736319304,100814.9609375
0.0031417901627719402,34328.26953125,0.0030677979812026024,129184.953125
0.003155643120408058,36089.23046875,0.002839775290340185,110689.484375
0.0031180221121758223,37713.2734375,0.0028959736227989197,114805.046875
0.003133391262963414,40496.8046875,0.0029642826411873102,119848.421875
0.0031224777922034264,39315.9609375,0.003292651381343603,107242.9921875
0.003139836946502328,38730.5390625,0.0028057415038347244,114835.34375
0.003117566928267479,31286.0390625,0.0028168330900371075,103685.390625
0.003130330005660653,32927.32421875,0.003380631096661091,101219.515625
0.0031040599569678307,43885.59375,0.0028016450814902782,111588.0078125
